Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume,ReTX
1.64E+12,11/12/21 04:00,BTCUSD,64857.63,65071.49,62875,64426.66,1399.092309,
1.64E+12,11/11/21 04:00,BTCUSD,64785.34,65587,64121,64857.63,1050.512138,0.006689312
1.64E+12,11/10/21 04:00,BTCUSD,66491.25,69000,62927.97,64785.34,2966.578623,-0.001114595
1.64E+12,11/9/21 04:00,BTCUSD,68525.75,68529.52,66262.48,66491.25,1229.455106,0.026331729
1.64E+12,11/8/21 04:00,BTCUSD,65235.2,68534.11,65138,68525.75,1421.07585,0.030598011
1.64E+12,11/7/21 04:00,BTCUSD,62199.69,65680,61537.32,65235.2,892.8235258,-0.048019175
1.64E+12,11/6/21 04:00,BTCUSD,61172.03,62338.16,60120,62199.69,758.383379,-0.04653178
1.64E+12,11/5/21 04:00,BTCUSD,62249.6,64000,60777.3,61172.03,1043.914728,-0.016521947
1.64E+12,11/4/21 04:00,BTCUSD,62469.83,62858.83,60724.16,62249.6,1036.528464,0.017615404
1.64E+12,11/3/21 04:00,BTCUSD,63257.57,63547.54,60110,62469.83,1448.486915,0.003537854
1.64E+12,11/2/21 04:00,BTCUSD,61133.24,64319,61124.5,63257.57,1791.903727,0.012609927
1.64E+12,11/1/21 04:00,BTCUSD,59947.01,62490,59490.18,61133.24,1488.557124,-0.033582226
1.64E+12,10/31/21 04:00,BTCUSD,61719.1,61768,59731.57,59947.01,975.6503578,-0.01940401
1.64E+12,10/30/21 04:00,BTCUSD,61669.43,62487.97,60696.52,61719.1,1116.811788,0.029560941
1.64E+12,10/29/21 04:00,BTCUSD,61706.36,62978,60367,61669.43,1737.129172,-0.000804775
1.64E+12,10/28/21 04:00,BTCUSD,58884.7,62508.87,57500,61706.36,2789.7925,0.000598838
1.64E+12,10/27/21 04:00,BTCUSD,60728,61500,58100,58884.7,1865.115686,-0.045727215
1.64E+12,10/26/21 04:00,BTCUSD,62765.47,63102.8,59850,60728,1278.713199,0.031303547
1.64E+12,10/25/21 04:00,BTCUSD,62091.93,63703.3,61822.81,62765.47,1477.088886,0.033550751
1.64E+12,10/24/21 04:00,BTCUSD,61226,62223.14,59505,62091.93,848.6999797,-0.01073106
1.63E+12,10/23/21 04:00,BTCUSD,61234.9,61743.51,59648.91,61226,543.6843493,-0.013945935
1.63E+12,10/22/21 04:00,BTCUSD,63243.4,63745.62,60000,61234.9,1652.985291,0.000145363
1.63E+12,10/21/21 04:00,BTCUSD,65077.99,66643.14,61418.02,63243.4,2908.734738,0.032799923
1.63E+12,10/20/21 04:00,BTCUSD,63870.2,66994.72,63540.51,65077.99,2836.5884,0.029008402
1.63E+12,10/19/21 04:00,BTCUSD,62600,64498.12,61312,63870.2,1914.147308,-0.018559117
1.63E+12,10/18/21 04:00,BTCUSD,62100,62973.38,59926.13,62600,2631.534652,-0.019887209
1.63E+12,10/17/21 04:00,BTCUSD,61144.42,62552.73,58937.03,62100,929.5099385,-0.00798722
1.63E+12,10/16/21 04:00,BTCUSD,61624.84,62366.08,60174.14,61144.42,864.5657209,-0.015387762
1.63E+12,10/15/21 04:00,BTCUSD,59407.55,62898,58768.79,61624.84,3069.459601,0.007857136
1.63E+12,10/14/21 04:00,BTCUSD,58073.82,59450,56807.96,59407.55,1166.894314,-0.035980459
1.63E+12,10/13/21 04:00,BTCUSD,56289.06,58500.02,54250,58073.82,1574.695193,-0.022450513
1.63E+12,10/12/21 04:00,BTCUSD,56710,57688.88,53911.79,56289.06,1713.917114,-0.030732609
1.63E+12,10/11/21 04:00,BTCUSD,56520.58,58000,55838.77,56710,1027.906147,0.007478185
1.63E+12,10/10/21 04:00,BTCUSD,55043.76,56759.01,54376.52,56520.58,1166.244684,-0.003340152
1.63E+12,10/9/21 04:00,BTCUSD,54588,55486.87,54115.27,55043.76,707.7223449,-0.02612889
1.63E+12,10/8/21 04:00,BTCUSD,53826.69,56150.58,53655,54588,1485.778019,-0.008279958
1.63E+12,10/7/21 04:00,BTCUSD,54838.9,55231.53,53366,53826.69,1338.830408,-0.013946472
1.63E+12,10/6/21 04:00,BTCUSD,51561.6,55800,50410,54838.9,3288.231083,0.018804983
1.63E+12,10/5/21 04:00,BTCUSD,49320.94,51927.83,49108.3,51561.6,1691.523469,-0.059762322
1.63E+12,10/4/21 04:00,BTCUSD,47509.65,49789.33,46926.68,49320.94,1755.41301,-0.043455983
1.63E+12,10/3/21 04:00,BTCUSD,47899.79,49259.3,47372.35,47509.65,864.7954663,-0.036724564
1.63E+12,10/2/21 04:00,BTCUSD,47555.51,48346.7,47144,47899.79,761.864461,0.008211805
1.63E+12,10/1/21 04:00,BTCUSD,43628.16,48495.68,43472.59,47555.51,3254.016403,-0.007187505
1.63E+12,9/30/21 04:00,BTCUSD,43601.2,44097.7,42702.71,43628.16,1891.523643,-0.082584542
1.63E+12,9/29/21 04:00,BTCUSD,42210.47,43726.63,40908.41,43601.2,1511.581965,-0.00061795
1.63E+12,9/28/21 04:00,BTCUSD,42565.16,42771.12,40764.26,42210.47,2104.499369,-0.031896599
1.63E+12,9/27/21 04:00,BTCUSD,44024.27,44250.76,41980.4,42565.16,1531.05566,0.008402892
1.63E+12,9/26/21 04:00,BTCUSD,42239.94,44350,40801.19,44024.27,1395.678882,0.034279444
1.63E+12,9/25/21 04:00,BTCUSD,42650,42985.06,41677.82,42239.94,1058.065004,-0.040530598
1.63E+12,9/24/21 04:00,BTCUSD,44301,45157.81,40696,42650,4398.265361,0.009707874
1.63E+12,9/23/21 04:00,BTCUSD,44094.55,45062.97,43389.94,44301,1699.820955,0.038710434
1.63E+12,9/22/21 04:00,BTCUSD,42089.88,44231.92,41836.59,44094.55,1238.610076,-0.004660166
1.63E+12,9/21/21 04:00,BTCUSD,42688.03,43655.53,39590,42089.88,2962.611037,-0.045462988
1.63E+12,9/20/21 04:00,BTCUSD,45553.62,45837.9,40137.98,42688.03,4373.379477,0.014211255
1.63E+12,9/19/21 04:00,BTCUSD,47854.23,48333.32,45175.2,45553.62,860.7123305,0.067128654
1.63E+12,9/18/21 04:00,BTCUSD,47962.79,48808.97,47613.93,47854.23,671.3561499,0.050503341
1.63E+12,9/17/21 04:00,BTCUSD,47907,48165.96,46754.93,47962.79,1247.382892,0.002268556
1.63E+12,9/16/21 04:00,BTCUSD,47629.1,48500,47041.24,47907,1069.566993,-0.001163193
1.63E+12,9/15/21 04:00,BTCUSD,47101.27,48455.16,46730.15,47629.1,1276.624243,-0.005800822
